code_pac,lbl_cultu,code_cpf_bio,libelle_code_cpf_bio,code_grp_cultu,grp_cultu,
CRN,Cornille,01.11.76,"Dolique à œil noir (pois du brésil, niébé)",25,Légumes ou fleurs,
CRS,Cresson,01.13.19.4,Cresson,25,Légumes ou fleurs,
CSA,Canne à sucre - autre,01.14,Cannes à sucre,26,Canne à sucre,
CSE,Chanvre sans étiquette conforme,01.16.19.2,Chanvre,9,Plantes à fibres,
CSF,Canne à sucre - fermage,01.14,Cannes à sucre,26,Canne à sucre,
CSI,Canne à sucre - indivision,01.14,Cannes à sucre,26,Canne à sucre,
CSP,Canne à sucre - propriété ou faire valoir direct,01.14,Cannes à sucre,26,Canne à sucre,
CSR,Canne à sucre - réforme foncière,01.14,Cannes à sucre,26,Canne à sucre,
CSS,Culture sous serre hors sol,01.19,Autres cultures non permanentes,25,Légumes ou fleurs,
CTG,Châtaigne,01.25.32,Châtaignes et marrons,22,Fruits à coque,
CUA,Culture sous abattis,01.19,Autres cultures non permanentes,28,Divers,
